章节号,问题,正确选项,错误选项1,错误选项2,错误选项3,解释
13,Which operator would you use to perform a bitwise inversion?,inv(),or(),and(),xor(),"The `inv()` operation performs a bitwise inversion, flipping each bit of the number from 0 to 1 and vice versa."
13,What is the purpose of the range operator '..' in Kotlin?,To declare a sequence of values,To create an array,To compare two values,To perform bitwise operations,"The .. operator in Kotlin creates a range of values, such as `5..8`, representing the sequence 5, 6, 7, 8."
13,What does the logical AND (&&) operator do?,Returns true if both operands are true,Compares two numbers,Returns true if one operand is true,Inverts the Boolean value,"The && operator returns true only if both operands evaluate to true; otherwise, it returns false."
13,Which of the following operators returns true if two values are equal?,==,>=,<=,"!=",The == operator checks for equality between two operands and returns true if they are equal.
13,What is the result of the expression val y = ++x if x starts at 9?,x is incremented before assignment,x is incremented after assignment,x is decremented before assignment,y is assigned the value 8,"In `val y = ++x`, the variable `x` is incremented before the assignment, so `y` gets the incremented value of `x`, which is 10."
13,Which operator in Kotlin is used to increment a value by 1?,++,+,--,+=,"The ++ operator increments a variable by 1, making it a shorthand for `x = x + 1`."
13,What does the augmented assignment operator '+=' do?,Adds two values and stores the result in the first variable,Multiplies two values and assigns the result,Subtracts two values and stores the result,Adds two values and assigns the result to a different variable,"The += operator adds the right operand to the left operand and assigns the result to the left operand, e.g., `x += y`."
13,What is the purpose of the unary '-' operator in Kotlin?,To negate a value,To add two values,To multiply two values,To increment a value,"The unary - operator is used to negate a value, changing its sign, e.g., `-10` makes a positive number negative."
13,Which Kotlin operator is used to perform modulo operations?,%,+,-,*,"The % operator in Kotlin is used to calculate the remainder of a division operation, known as modulo."
13,Which Kotlin operator is used for subtraction?,-,+,*,/,"The - operator is used for subtraction, taking two operands and subtracting the second from the first, e.g., `x - 5`."
13,What does the assignment operator '=' do in Kotlin?,It assigns a value to a variable,It compares two values,It increments a variable,It multiplies two values,"The assignment operator = in Kotlin assigns the result of an expression to a variable, such as `x = 10`."
14,What is the main advantage of using labeled break and continue statements in nested loops?,They allow breaking or continuing specific loops directly,They replace all conditions,They avoid syntax errors,They make the code run faster,"Labeled break and continue statements enable you to directly control which loop to break or continue, making nested loops more manageable."
14,What does the do...while loop ensure?,The loop executes at least once,The loop stops after a set number of iterations,The loop executes only when a condition is true,The loop runs in reverse order,"The do...while loop checks its condition after executing the loop body, ensuring the code inside the loop runs at least once regardless of the condition."
14,Which Kotlin loop is best suited for iterating through a known sequence of items?,for-in loop,while loop,do...while loop,infinite loop,"The for-in loop is ideal for iterating through known sequences like ranges, collections, or arrays, providing a clear, concise way to handle iterations."
14,What is the primary purpose of the when statement in Kotlin?,To handle multiple conditional branches more cleanly than if statements,To perform arithmetic operations,To create infinite loops,To handle errors in code,"The when statement allows for cleaner, more readable handling of multiple conditional branches compared to chaining multiple if...else statements."
14,Which Kotlin control flow statement executes code only when a Boolean expression is true?,if statement,switch statement,for loop,when statement,"The if statement in Kotlin executes code only if the associated Boolean expression evaluates to true, controlling conditional code flow."
14,What happens if a break statement is used inside a nested loop without a label?,It exits the current loop,It causes a syntax error,It continues to the next iteration,It exits all loops,"Without a label, a break statement exits only the current loop in which it is used, not affecting outer loops."
14,What is the function of the 'step' keyword in a for loop?,It defines the increment for each iteration,It repeats the loop indefinitely,It inverts the loop range,It stops the loop after one iteration,"The step keyword specifies the increment between iterations in a for loop, allowing for customized step values like every second or tenth value."
14,What does the 'if...else if...else' construct allow you to do?,Check multiple conditions sequentially,Create infinite loops,Create a closed range of numbers,Perform bitwise operations,"The if...else if...else construct allows multiple conditions to be checked sequentially, executing different code based on which condition is met first."
14,What is a label in Kotlin used for?,To mark a specific loop or expression for break or continue,To define a constant,To print values in the console,To initiate a new function,"Labels in Kotlin are used to mark specific loops or expressions, allowing targeted control with break and continue statements, especially in nested loops."
14,How does a 'when' statement differ from a 'switch' statement in other programming languages?,It can handle complex expressions as conditions,It cannot have a default case,It only works with integers,It is case-sensitive,"The when statement in Kotlin can handle more complex expressions as conditions, unlike the simpler switch statements in other languages, which are limited to basic matches."
14,Which control flow statement in Kotlin is used to make decisions based on one or more criteria?,if,switch,continue,loop,"The if expression is used to make decisions in Kotlin, executing different code blocks based on the evaluation of Boolean expressions."
14,What is the output of the following Kotlin code ?,"1, 2, 3, 4, 5","5, 4, 3, 2, 1","1, 3, 5","0, 1, 2, 3, 4","The code uses a for-in loop with a closed range from 1 to 5, printing each value sequentially from 1 to 5."
14,What type of range does the 'until' function in Kotlin create?,Half-closed range,Infinite range,Closed range,Open range,"The until function creates a half-closed range that includes the start value but excludes the end value, iterating up to but not including the specified endpoint."
14,Which loop guarantees that the code inside it will be executed at least once?,do...while loop,repeat loop,while loop,for loop,The do...while loop guarantees that its body is executed at least once because it checks the loop condition after executing the loop body.
14,What is control flow in programming?,The logic that dictates which code gets executed and which gets bypassed,The process of compiling code,The order in which code is written,The style of writing code in a readable way,"Control flow refers to the logic that determines how code is executed, including decisions about which code runs, how often it runs, and when it is skipped."
14,"In a when statement, what is the role of the 'else' branch?",It executes if none of the other conditions match,It ends the when statement,It throws an error,It repeats the first case,"The else branch in a when statement acts as the default case, executing when none of the specified conditions match."
14,Which Kotlin construct provides a cleaner alternative to multiple if...else statements?,when statement,switch statement,while statement,goto statement,The when statement in Kotlin is similar to the switch statement found in other languages and provides a cleaner alternative to chaining multiple if...else statements.
14,How does the Kotlin if expression differ from traditional if statements in other languages?,It returns a result and can be used in expressions,It does not allow nested conditions,It requires curly braces for all conditions,It cannot be used in loops,"Unlike traditional if statements, the Kotlin if expression returns a result, allowing it to be used within other expressions, similar to a ternary operator in other languages."
14,Which statement is used in Kotlin to provide labels for breaking out of nested loops?,break with label,goto,labeled,named,"Kotlin allows labels to be assigned to loops, and the break statement can use these labels to specify which loop to exit, especially in nested loop scenarios."
14,What does the 'continue' statement do in a loop?,Skips the remaining code in the current iteration,Exits the loop immediately,Repeats the loop from the beginning,Pauses the loop execution,The continue statement skips the remaining code in the current loop iteration and proceeds to the next iteration.
14,What is the purpose of the 'break' statement in a loop?,To exit the loop immediately,To repeat the last iteration,To restart the loop,To skip the current iteration,"The break statement in Kotlin is used to exit the loop immediately, regardless of the loops completion criteria."
14,How does a do...while loop differ from a while loop?,It executes the loop body before checking the condition,It only works with arrays,It does not repeat the loop,It executes the condition before the loop body,"The do...while loop executes the code inside the loop body at least once before evaluating the condition, ensuring the loop body runs at least once."
14,When is a while loop preferred over a for loop in Kotlin?,When the number of iterations is unknown,When the number of iterations is known,When working with arrays,When the loop needs to iterate through a range,A while loop is used when the number of iterations is not known in advance and the loop needs to repeat until a specific condition is met.
14,Which function is used to change the increment value of a Kotlin for loop?,step,jump,add,increment,"The step function is used in Kotlin for loops to specify the increment value, allowing the loop to skip values based on the defined step."
14,What does the 'until' function do in a Kotlin for loop?,Iterates up to but does not include the specified endpoint,Multiplies each loop value,Creates an infinite loop,Counts down from a maximum value,"The until function in Kotlin creates a half-closed range, meaning it iterates from the start value up to but not including the specified endpoint."
14,What is the purpose of the 'downTo' function in a Kotlin for loop?,To count backward through a range,To repeat the loop indefinitely,To iterate forward through a range,To skip values in a loop,"The downTo function causes a for loop to iterate backward through a range, starting from the higher value and counting down to the specified lower value."
14,Which Kotlin loop is used to iterate over a sequence of items?,for-in loop,do...while loop,repeat loop,while loop,"The for-in loop in Kotlin is used to iterate over a sequence of items, such as a collection or a range of numbers."
15,Which of the following is an example of a single-expression function?,"fun add(x: Int, y: Int) = x + y","fun add(x: Int, y: Int): Int { return x + y }",fun add = x + y,"add = { x: Int, y: Int -> x + y }","This example shows a single-expression function where the return type is inferred, and the code is compact and concise."
15,How can you execute a lambda directly without assigning it to a variable?,{ x: Int -> x + 1 }(5),lambda { x: Int -> x + 1 },lambda(x: Int) = x + 1,fun (x: Int) -> x + 1,A lambda can be directly executed by defining it inline and immediately calling it with the required arguments.
15,What will be the output of the following code?,12,7,Error,"3, 4","The lambda multiplies the two integers passed to it (3 and 4), resulting in the output of 12."
15,Which Kotlin code correctly shows a lambda being assigned to a variable?,"val multiply = { x: Int, y: Int -> x * y }","lambda multiply = (x, y) -> x * y","val multiply = (x, y) => x * y","fun multiply { x: Int, y: Int }","Lambdas are assigned to variables using the { } notation, with parameters defined before the arrow -> and the body after."
15,What does the vararg keyword allow you to do in Kotlin?,Accept variable numbers of arguments of the same type,Return multiple values,Declare a function as private,Make a parameter optional,"The vararg keyword allows a function to accept a variable number of arguments of the specified type, passed in as an array."
15,How would you declare a function that returns a lambda?,fun myFunc(): (Int) -> String,fun myFunc() -> lambda,fun myFunc(): { Int -> String },fun myFunc() { Int -> String },"To declare a function that returns a lambda, specify the lambdas function type as the return type."
15,Which function type represents a function that accepts an Int and returns a String?,(Int) -> String,"(String, Int) -> String",(String) -> Int,"(Int, String)",The function type (Int) -> String specifies a function that accepts an integer parameter and returns a string.
15,Which keyword is used to specify that a Kotlin function parameter is optional?,default,vararg,inline,optional,"Default values for function parameters can be specified directly in the function signature, allowing arguments to be optional."
15,How are functions declared to accept a lambda as a parameter?,fun myFunc(lambda: () -> Unit),fun myFunc(lambda: Lambda),fun myFunc(lambda: fun -> Unit),fun myFunc(lambda: function()),"To accept a lambda, the function parameter is declared using the function type notation, such as () -> Unit."
15,What happens when you place parentheses after a lambda expression?,It executes the lambda,It defines the lambda,It converts the lambda to a function,It passes parameters to the lambda but does not execute it,"Placing parentheses after a lambda expression immediately executes it, with the ability to pass arguments if needed."
15,Which statement about Kotlin lambda expressions is correct?,Lambdas can have parameters and return values,Lambdas cannot be assigned to variables,Lambdas can only be used in loops,Lambdas must have a return statement,"Kotlin lambdas can accept parameters, execute code, and return results, just like regular functions."
15,Which code snippet correctly demonstrates passing a function reference as an argument?,"outputConversion(::myFunction, 10.0)","outputConversion(myFunction(), 10.0)","outputConversion(myFunction, 10.0)","outputConversion(myFunction::, 10.0)","Function references are passed using the :: syntax before the function name, without calling it with parentheses."
15,What is the main advantage of using higher-order functions in Kotlin?,They allow functions or lambdas to be passed as arguments or returned as results,They automatically handle exceptions,They do not require parameters,They run faster than regular functions,"Higher-order functions are powerful because they can receive other functions or lambdas as parameters and return them as results, making the code more flexible."
15,How do you declare a function that returns a function as its result?,fun myFunc(): () -> Unit,fun myFunc: fun = return,fun myFunc -> fun(),fun myFunc() -> fun,"In Kotlin, a function that returns another function specifies its return type using the function type syntax, e.g., () -> Unit."
15,What is a function in Kotlin?,A named block of code that performs a specific task,A variable used to store data,An operator used in expressions,A method to define data types,A function is a named block of code that can be called upon to perform a specific task. It can accept parameters and return results.
15,Which syntax assigns a function reference to a variable in Kotlin?,val myVar = ::myFunction,val myVar = fun myFunction,val myVar = myFunction,val myVar = myFunction(),"Using :: before the function name assigns the function itself, not its return value, to a variable, creating a function reference."
15,How can a lambda be directly executed in Kotlin?,By placing parentheses at the end of the expression with any required arguments,By defining it inside a function,By using the call keyword,By using the execute keyword,"A lambda can be executed directly by placing parentheses at the end of the expression, passing in any necessary arguments."
15,What is a lambda expression in Kotlin?,A self-contained block of code that can be passed around as a variable,A type of class,A private method inside a function,An error handling mechanism,"A lambda expression is a block of code that can be defined, passed, and executed independently, allowing functions to be passed as arguments."
15,Which of the following is the correct syntax for a function with a variable number of string parameters?,fun display(vararg strings: String),fun display(Strings: vararg),fun display(strings...: String),fun display(strings: String*),The correct syntax uses the vararg keyword before the parameter type to indicate that the function can accept multiple arguments of that type.
15,What keyword is used to specify that a function can accept a variable number of parameters?,vararg,optional,default,multivar,The vararg keyword is used in Kotlin to allow a function to accept a variable number of arguments of a specified type.
15,What is the purpose of default parameters in Kotlin functions?,To make a parameter optional and use a default value if no argument is passed,To specify the data type of a parameter,To declare multiple parameters with the same name,To make the function private,"Default parameters allow functions to have optional arguments, providing default values when arguments are not explicitly passed."
15,How do you handle return values from a Kotlin function?,By storing the result in a variable using the assignment operator,Using the return keyword,By printing the result inside the function,By calling the function with an argument,Return values from a function can be handled by storing the returned result in a variable using the assignment operator.
15,What is a local function in Kotlin?,A function declared inside another function,A function that can only be used in the main file,A private function,A function that cannot return a value,"A local function is a function declared inside another function, allowing it to access the variables and parameters of the enclosing function."
15,Which of the following is a correct single-expression function that multiplies two numbers?,"fun multiply(x: Int, y: Int) = x * y","fun multiply(x: Int, y: Int): Int { return x * y }",fun multiply x: Int y: Int -> x * y,"fun multiply = (x, y) -> x * y","This is the correct single-expression form of a function in Kotlin, where the return type can be inferred by the compiler."
15,What is a single expression function in Kotlin?,A function that contains a single expression and can be written in a more concise form,A function that has no return type,A function that uses multiple lines of code,A function that only accepts string parameters,A single expression function contains only one expression and can be written concisely using the = symbol followed by the expression.
15,What is the syntax for calling a function named sayHello that takes no parameters and returns no value?,sayHello(),call sayHello(),sayHello{},fun sayHello(),"Functions are called by writing their name followed by parentheses. In this case, sayHello() calls the function named sayHello."
15,Which keyword is used to declare a function in Kotlin?,fun,func,def,declare,"The keyword fun is used to declare a function in Kotlin, followed by the function name, parameters, and return type."
15,What is the difference between parameters and arguments in the context of functions?,"Parameters are defined in the function declaration, and arguments are the actual values passed when calling the function","Parameters are the values passed when calling a function, and arguments are defined inside the function",Parameters and arguments are exactly the same,"Parameters are the data type, and arguments are the value","Parameters are defined in the function declaration to specify what kind of data the function can accept, while arguments are the actual values passed to these parameters when calling the function."
16,What will happen if a class in Kotlin has both a primary constructor and a secondary constructor?,The secondary constructor must delegate to the primary one.,The secondary constructor overrides the primary one.,The primary constructor must delegate to the secondary one.,Both constructors must initialize the same properties.,"In Kotlin, if a class has both a primary and a secondary constructor, the secondary constructor must delegate to the primary constructor using the this keyword."
16,"In Kotlin, how do you call a method of a class instance?",classInstance.methodName(),classInstance::methodName(),call classInstance.methodName,methodName(classInstance),"Dot notation is used to call a method of a class instance in Kotlin, such as classInstance.methodName()."
16,What is the purpose of the 'companion object' in a Kotlin class?,To hold properties and methods that are shared across instances.,To define inner classes.,To create methods that must be overridden.,To create a class hierarchy.,A companion object allows for the creation of properties and methods that are accessible without creating an instance of the class.
16,How many primary constructors can a Kotlin class have?,One.,None.,As many as needed.,Two.,Kotlin classes can only have one primary constructor but can have multiple secondary constructors.
16,What is the output of the following code snippet?,10,An error occurs,0,5,"The init block prints x * 2, which results in 10 when the instance is created with the value 5."
16,Which keyword is used to initialize a property with a specific value when an instance is created in Kotlin?,init,this,constructor,val,The init keyword is used to define an initializer block that runs code during class instance creation.
16,When should you use a custom accessor in Kotlin?,To perform calculations or logic before returning a property.,To hide a property from other classes.,To directly access a property value.,To initialize class properties.,Custom accessors allow developers to perform calculations or other logic before returning or setting a property value.
16,What is a nested class in Kotlin?,A class defined within another class.,A class that extends another class.,A class defined within a function.,A class that implements an interface.,A nested class is defined inside another class and is typically used to group related classes together.
16,Which of the following code snippets creates an instance of a class using a secondary constructor?,val instance = MyClass(123),create instance MyClass(123),val instance = MyClass(),var instance = MyClass.newInstance(123),"To create an instance using a secondary constructor, you call the constructor with the required parameters directly."
16,What is the purpose of the 'val' keyword in a primary constructor parameter?,To create an immutable property.,To make the parameter optional.,To make the property mutable.,To assign a default value.,Using val in a primary constructor creates a read-only (immutable) property for that parameter.
16,Which of the following Kotlin code snippets is correct for adding a secondary constructor?,class MyClass { constructor(number: Int) : this() },class MyClass(number: Int) { constructor() },class MyClass { fun constructor(number: Int) {} },class MyClass constructor(number: Int) {},"A secondary constructor is declared using the constructor keyword and must delegate to the primary constructor if present, using this()."
16,What is an object in Kotlin?,A self-contained module of functionality.,A parent class for all Kotlin classes.,A blueprint for creating classes.,A Kotlin file containing functions.,Objects in Kotlin are self-contained modules of functionality that include properties (data) and methods (functions). They can be used and re-used as building blocks for applications.
16,How do you access a property of a class instance in Kotlin?,classInstance.propertyName,classInstance::propertyName,classInstance->propertyName,classInstance:propertyName,"In Kotlin, dot notation is used to access properties of an instance, such as classInstance.propertyName."
16,What keyword is used to declare a nested class that can access properties of the outer class?,inner,static,class,nested,The inner keyword is used to declare a nested class in Kotlin that can access the properties of its outer class.
16,Which statement is true about companion objects in Kotlin?,They can contain properties and methods shared by all instances.,They can be accessed only through instances.,They must be declared as 'static'.,Each instance has its own companion object.,Companion objects in Kotlin are used to hold properties and methods that are shared among all instances of a class and can be accessed at the class level.
16,How do you declare a custom getter for a property in Kotlin?,val propertyName: Type get(),fun get(),var propertyName: Type get,get propertyName(),A custom getter in Kotlin is defined using val propertyName: Type get() where the getter contains custom logic to return a property value.
16,What is the purpose of an initializer block in Kotlin?,To perform initialization tasks after the constructor.,To define default values for properties.,To override methods from a superclass.,To execute code before the primary constructor.,Initializer blocks in Kotlin are used to perform initialization tasks that are executed after the primary constructor.
16,"In Kotlin, which keyword is used to refer to the current class instance within a class?",this,self,current,super,The this keyword in Kotlin is used to refer to the current instance of the class.
16,What is a primary constructor in Kotlin?,A constructor declared in the class header.,A constructor that can only be used once.,A constructor that initializes a class with default values.,A constructor declared outside the class body.,A primary constructor in Kotlin is declared in the class header and is used to initialize properties directly.
16,Which of the following code snippets correctly creates an instance of a class named Customer?,var customer = Customer(),val customer = new Customer(),customer Customer(),create Customer customer,"In Kotlin, an instance of a class is created using var or val followed by the variable name and Customer() to call the class constructor."
16,How do you declare a class in Kotlin?,class MyClass : ParentClass,declare MyClass(),define MyClass,class MyClass extends ParentClass,The correct syntax for declaring a class in Kotlin is class ClassName : ParentClass. The colon indicates inheritance from a parent class.
16,What is the purpose of data encapsulation in object-oriented programming?,To hide data inside a class and access it through methods.,To create multiple classes with the same properties.,To store data outside the class for easy access.,To allow direct access to class properties.,Data encapsulation is a key concept in object-oriented programming where data is hidden within a class and can only be accessed or modified through defined methods.
16,Which of the following best defines a class in Kotlin?,A class is a blueprint for creating objects.,A class is used to store user input.,A class is a function in Kotlin.,A class is a module of reusable code.,"In Kotlin, a class serves as a blueprint that defines what an object will look like when created, including its properties and methods."
17,What must be included in the subclass if the parent class has a secondary constructor?,A secondary constructor with the same parameters.,An abstract method.,A function call to the 'init' block.,A primary constructor in the subclass.,"If a parent class has a secondary constructor, the subclass must define a secondary constructor that calls the parent’s constructor using the super keyword."
17,Which keyword is used to access the parent class's properties or methods in Kotlin?,super,this,parent,base,The super keyword is used in Kotlin to access the properties or methods of a parent class from within a subclass.
17,What is the benefit of using a secondary constructor in a subclass?,It allows additional properties to be initialized.,It simplifies method overloading.,It allows for multiple inheritance.,It prevents subclassing.,A secondary constructor in a subclass allows for the initialization of additional properties that are unique to the subclass.
17,What is inheritance in Kotlin?,A class that inherits characteristics from another class.,A way to create unrelated class hierarchies.,Creating new classes without any relation.,A method that has the same name but different parameters.,"Inheritance allows a class to derive characteristics (properties and methods) from a parent class, creating a hierarchical relationship."
17,What is the difference between 'open' and 'override' in Kotlin?,"'open' allows inheritance, 'override' modifies inherited methods.",'open' and 'override' have the same function.,"'open' marks a method as final, 'override' marks it as abstract.","'open' is used for methods, 'override' for classes.","open is used to make a method or class inheritable, while override is used to provide a new implementation for a method in a subclass."
17,Which of the following correctly defines a subclass in Kotlin?,class SubClass : ParentClass() { },class SubClass() { },subclass SubClass : ParentClass() { },class SubClass extends ParentClass() { },"To create a subclass in Kotlin, use the syntax class SubClass : ParentClass() where the parent class is specified after the colon."
17,What is single inheritance in Kotlin?,A class inheriting from a single direct parent class.,A class inheriting from multiple parent classes.,A method that overrides another method.,A class that cannot be inherited.,"In Kotlin, single inheritance means that a class can inherit from only one direct parent class, preventing multiple inheritance directly."
17,How do you override a method in Kotlin?,use the 'override' keyword,use the 'extends' keyword,declare the method as 'open',prefix the method with 'super',"In Kotlin, the override keyword is required to override a method from a parent class, ensuring clarity that a method is being overridden."
17,Which of the following is true about the 'super' keyword in Kotlin?,It is used to access methods and properties from a parent class.,It must be used in every subclass method.,It is used to access methods and properties from a subclass.,It can only be used in constructors.,"The super keyword is used to access properties and methods from a parent class, providing a way to extend or customize functionality in subclasses."
17,What is the base class from which all classes in Kotlin are ultimately derived?,Any,Object,Super,Base,"In Kotlin, all classes are ultimately derived from the Any class, which is the root of the class hierarchy and provides basic methods."
17,What happens if you try to override a method that is not declared as 'open' in the parent class?,The code will not compile.,A runtime error will occur.,The method will be overridden without issues.,"The code will compile, but the method will not be overridden.","If a method in a parent class is not declared as open, attempting to override it in a subclass will result in a compilation error."
17,What keyword is used in Kotlin to allow a class to be subclassed?,open,inherit,extend,super,"In Kotlin, the open keyword is used to mark a class as open for inheritance, allowing other classes to subclass it."
17,Why might you want to override a method in a subclass?,To provide a different implementation for the method.,To prevent the method from being inherited.,To restrict access to the method.,To create a new method with the same name.,Overriding allows a subclass to provide a custom implementation of a method that is inherited from its parent class.
17,How do you call a superclass method from an overridden method in Kotlin?,super.methodName(),parent.methodName(),this.methodName(),methodName(),"To call a method from a superclass within an overridden method in Kotlin, you use super.methodName()."
17,What is a class hierarchy?,A relationship where classes are derived from one another.,A set of classes with the same name.,A structure where classes are unrelated.,A collection of interfaces.,"A class hierarchy is a structure in which classes are derived from one another, with parent and child class relationships."
17,Why is the 'open' keyword required before a function to allow it to be overridden?,To allow the function to be overridden in subclasses.,To allow other classes to modify the function.,To prevent the function from being inherited.,To indicate that the function is private.,"In Kotlin, functions must be marked with the open keyword to indicate that they can be overridden by subclasses."
17,What is the term for a class from which a subclass is derived?,Super class,Child class,Root class,Derived class,A super class is the class from which a subclass is derived. It provides methods and properties that the subclass can inherit.
17,What is the purpose of subclassing?,To extend the functionality of a parent class.,To limit access to class members.,To prevent classes from being inherited.,To create a class without any methods.,Subclassing allows a class to inherit properties and methods from a parent class and add or customize functionality as needed.
17,Which method in a subclass allows calling a method with the same name from the parent class?,super.methodName(),parent.methodName(),this.methodName(),override.methodName(),"To call a method from a parent class in Kotlin when it is overridden in a subclass, you use super.methodName()."
17,Which of the following correctly creates a secondary constructor in a subclass?,constructor(number: Int) : super(number),open constructor(number: Int),constructor() { },secondary constructor(),A secondary constructor in a subclass calls the constructor of the parent class using super() and matches the parameter signature.
17,What is required when creating a subclass that has a constructor with parameters?,You must call the parent's constructor using 'super'.,You must initialize the parent class using 'this'.,You must provide default values.,You must make the subclass 'open'.,"When creating a subclass with a constructor that has parameters, you need to call the parents constructor using the super keyword and pass the necessary arguments."
19,Which feature of Android Studio helps visualize Compose layouts as they are written?,Live Preview,Constraint Layout Designer,Data Binding,XML Layout Editor,"The Live Preview feature in Android Studio allows developers to see their Compose UI changes in real-time, streamlining the design and testing process."
19,How does Jetpack Compose help handle different device screen sizes and orientations?,By using Kotlin code to define adaptive layouts with layout managers like Column and Row.,By requiring custom XML files for each screen size.,By relying on third-party plugins.,By using fixed layouts that do not adapt to screen size.,"Compose uses layout managers like Column and Row in Kotlin code to create adaptive layouts that adjust based on screen size and orientation, simplifying the process compared to managing multiple XML layouts."
19,How did Android development handle UI updates before Jetpack Compose?,Code had to be written to manually check and update the UI based on data changes.,UI updates were automatic with no extra code.,Changes in the UI were handled by the Android Emulator.,Developers used Kotlin functions for UI updates.,"Before Compose, developers often needed to write additional code to ensure that the UI reflected changes in data, such as through manual refreshes or frequent checks."
19,Which of the following is an example of a layout manager in Compose?,Column,ConstraintLayout,ListView,RecyclerView,"Compose uses layout managers like Column, Row, and Box to arrange UI components, providing a simpler way to structure the layout compared to XML-based layouts like ConstraintLayout."
19,Which feature of Jetpack Compose allows developers to see changes in real-time while building UI layouts?,Interactive Preview,Live Simulator,XML Preview,Kotlin Compiler,The Interactive Preview in Android Studio allows developers to see a real-time view of their Compose UI changes without needing to build and run the app on a simulator or device.
19,Which of the following is NOT a characteristic of Jetpack Compose?,XML-based layout design,Declarative syntax,Data-driven updates,Composables,"Jetpack Compose replaces the traditional XML-based layout design with a declarative approach written in Kotlin, making it easier to build and manage UI."
19,What is the advantage of Compose's declarative syntax?,It simplifies the process of describing the UI layout and appearance.,It requires more lines of code.,It allows precise manual positioning of UI components.,It only works for simple layouts.,"The declarative syntax of Compose allows developers to define what the UI should look like, while Compose handles the underlying complexity of rendering the layout."
19,Which of the following statements is true about Jetpack Compose's data-driven nature?,UI updates automatically based on changes in the underlying data.,User interactions do not affect UI updates.,UI elements are updated manually based on user input.,Data changes are ignored unless a refresh button is clicked.,"Jetpack Compose automatically updates the UI when the underlying data (state) changes, making it reactive and reducing the need for manual updates."
19,"In Jetpack Compose, what happens when a state used by a UI component changes?",The component is recomposed to reflect the updated state.,The component using the state remains unchanged.,The entire app restarts.,The change is ignored until manually refreshed.,"When a state changes in Jetpack Compose, the component that depends on that state is automatically recomposed, ensuring the UI is always in sync with the current data."
19,Which of the following best describes the term 'recomposition' in Jetpack Compose?,Rebuilding parts of the UI when the underlying state changes.,Manually positioning UI components on the screen.,Re-running the entire app to reflect changes.,The process of debugging errors in a layout.,"Recomposition is the process in Compose where the UI is rebuilt whenever the data it depends on changes, ensuring that the interface always reflects the current state."
19,What role does 'state' play in Jetpack Compose?,It tracks data changes and updates the UI automatically.,It determines the initial theme of the app.,It is used only for navigation between screens.,It handles user authentication.,"State in Compose ensures that any changes to data automatically trigger a UI update, making the user interface reactive to changes without additional code."
19,Why is Jetpack Compose considered more efficient for UI development compared to the traditional XML approach?,It eliminates the need for separate XML files and allows UI to be defined programmatically in Kotlin.,It requires less memory.,It only works on specific Android devices.,It uses only Java for development.,"Composes programmatic approach enables developers to define UI directly in Kotlin, streamlining the process and reducing the need for managing separate XML files."
19,How does Jetpack Compose differ from the previous XML-based layout design in Android?,Compose allows UI to be defined using Kotlin code rather than XML.,Compose does not support data-driven user interfaces.,Compose requires manual handling of screen constraints.,Compose uses XML files for layout design.,"Compose uses a declarative syntax written in Kotlin for defining UI layouts, replacing the need for XML-based layout files."
19,What is the primary goal of Jetpack Compose?,To simplify app development and reduce bugs.,To replace Android Studio with a new IDE.,To make app development more complex.,To enhance XML-based UI design.,"Jetpack Compose aims to make app development easier, faster, and less prone to common bugs by providing a new approach to building user interfaces."
19,What is the purpose of using modifiers in Jetpack Compose?,To set the attributes of UI components.,To access the device's hardware.,To modify XML layout files.,To define activities in an app.,"Modifiers in Jetpack Compose are used to customize the appearance and behavior of UI components, such as adjusting size, padding, color, and alignment."
19,What is a 'composable' in Jetpack Compose?,A function that defines a piece of UI.,A special type of XML layout file.,A Java method used for database access.,A type of activity in Android.,"In Jetpack Compose, a composable is a function annotated with @Composable, which defines a part of the UI that can be reused and combined with other composables."
20,How does Android Studio notify you of available updates for libraries in the version catalog?,It highlights the version number in the catalog file.,It displays a popup message when starting a project.,It sends an email notification.,It automatically updates the libraries.,"Android Studio highlights version numbers in the libs.versions.toml file when a newer version of a library is available, allowing developers to manually update it."
20,How do you add a new library dependency to an Android project using the version catalog?,Declare the library in 'libs.versions.toml' and reference it in the module's build file.,Create a new module for the library.,Add it directly to the project-level Gradle build file.,Include it in the 'res' folder.,"To add a new library, you first declare it in the [libraries] section of libs.versions.toml and then reference it in the dependencies section of the modules build file."
20,What is the purpose of the [versions] section in the version catalog file?,To specify library version numbers.,To define plugin properties.,To store user preferences.,To list all module names.,"The [versions] section in libs.versions.toml is used to define version numbers for libraries, which can then be referenced in other sections of the catalog."
20,Why is it important to use a version catalog in large projects?,To maintain consistency in library versions across multiple modules.,To track file changes more efficiently.,To automatically resolve conflicts between libraries.,To increase the number of libraries used.,"Using a version catalog helps ensure that all modules in a project use the same versions of libraries, reducing inconsistencies and potential conflicts during builds."
20,What is a version catalog in the context of Gradle?,A centralized file that manages library version numbers and dependencies.,A log of all Gradle build errors.,A repository of deprecated libraries.,A list of all files in the project.,"The version catalog is a file named libs.versions.toml that centralizes the management of library versions, allowing for consistent versioning across modules."
20,What is an example of a version reference in 'libs.versions.toml'?,"coreKtx = ""1.12.0""","implementation = ""1.12.0""","alias = ""1.12.0""","androidx-core-ktx = ""1.12.0""","In the [versions] section, version numbers are assigned to variables like coreKtx, which can then be referenced in the [libraries] section and Gradle build files."
